playerID,yearID,teamID,G,AB,R,H,Doubles,Triples,HR,RBI,SB,SO,Walks HBP,AVG,OBP,SLG,OPS
ramirha01,2010,FLO,142,543,92,163,28,2,21,76,32,93,83,0.300,0.453,0.475,0.928
jacksau01,2012,DET,137,543,103,163,29,10,16,66,12,134,69,0.300,0.427,0.479,0.906
konerpa01,2011,CHA,149,543,69,163,25,0,31,105,1,89,102,0.300,0.488,0.517,1.006
guerrvl01,2010,TEX,152,593,83,178,27,1,29,115,4,60,49,0.300,0.383,0.496,0.879
choosh01,2010,CLE,144,550,81,165,31,2,22,90,22,118,105,0.300,0.491,0.484,0.975
phillbr01,2011,CIN,150,610,94,183,38,2,18,82,14,85,56,0.300,0.392,0.457,0.849
ramirar01,2012,MIL,149,570,92,171,50,3,27,105,9,82,59,0.300,0.404,0.540,0.944
werthja01,2012,WAS,81,300,42,90,21,3,5,31,8,57,45,0.300,0.450,0.440,0.890
hollima01,2013,SLN,141,520,103,156,31,1,22,94,6,86,83,0.300,0.460,0.490,0.950
navardi01,2013,CHN,89,240,31,72,7,0,13,34,0,36,26,0.300,0.408,0.492,0.900
pierzaj01,2015,ATL,113,407,38,122,24,1,9,49,0,37,28,0.300,0.369,0.430,0.799
jayjo02,2010,SLN,105,287,47,86,19,2,4,27,2,50,27,0.300,0.394,0.422,0.815
gonzaad01,2012,BOS,123,484,63,145,37,0,15,86,0,81,40,0.300,0.382,0.469,0.851
fowlede01,2012,COL,143,454,72,136,18,11,13,53,12,128,69,0.300,0.452,0.474,0.925
troutmi01,2015,LAA,159,575,104,172,32,6,41,90,11,158,116,0.299,0.501,0.590,1.090
peraljh01,2011,DET,146,525,68,157,25,3,21,86,0,95,44,0.299,0.383,0.478,0.861
pujolal01,2011,SLN,147,579,105,173,29,0,37,99,9,58,80,0.299,0.437,0.541,0.978
fieldpr01,2011,MIL,162,569,95,170,36,1,38,120,1,106,149,0.299,0.561,0.566,1.127
tabatjo01,2010,PIT,102,405,61,121,21,4,4,35,19,57,30,0.299,0.373,0.400,0.773
scutama01,2011,BOS,113,395,59,118,26,1,7,54,4,36,40,0.299,0.400,0.423,0.823
loneyja01,2013,TBA,158,549,54,164,33,0,13,75,3,77,50,0.299,0.390,0.430,0.820
konerpa01,2012,CHA,144,533,66,159,22,0,26,75,0,83,67,0.298,0.424,0.486,0.910
youngde03,2010,MIN,153,570,77,170,46,1,21,112,5,81,39,0.298,0.367,0.493,0.860
ellsbja01,2013,BOS,134,577,92,172,31,8,9,53,52,92,55,0.298,0.393,0.426,0.820
polanpl01,2010,PHI,132,554,76,165,27,2,6,52,5,47,40,0.298,0.370,0.386,0.756
reverbe01,2015,PHI,96,366,49,109,13,6,1,26,24,36,20,0.298,0.352,0.374,0.727
gonzaad01,2010,SDN,160,591,87,176,33,0,31,101,0,114,130,0.298,0.518,0.511,1.029
